Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.0,42.4,36.5,42.2,39.0,35.4,96.0,88.0,65.0,12.5,3.2,0.0,30.09,29.94,0.0
1/2/2024,47.3,42.3,37.2,46.2,40.0,35.2,95.0,91.0,82.0,10.9,2.5,0.0,30.09,30.0,0.0
1/3/2024,53.4,50.7,46.4,52.3,49.3,45.1,97.0,95.0,89.0,14.5,5.4,0.0,30.03,29.94,0.06
1/4/2024,50.7,49.5,47.1,49.6,48.5,46.0,97.0,96.0,94.0,17.0,3.6,0.0,30.0,29.73,0.22
1/5/2024,47.4,44.1,39.7,46.0,37.2,30.5,96.0,78.0,58.0,30.8,8.2,1.3,29.82,29.65,0.04
1/6/2024,47.4,42.0,37.7,35.0,32.7,31.1,80.0,70.0,54.0,27.0,7.9,1.3,30.03,29.82,0.0
1/7/2024,51.6,41.3,34.7,33.2,30.7,27.5,86.0,68.0,41.0,13.4,3.2,0.0,30.09,30.0,0.0
1/8/2024,44.7,38.4,30.9,33.9,30.4,28.0,89.0,74.0,57.0,8.9,2.3,0.0,30.06,29.94,0.0
1/9/2024,46.9,41.5,38.1,39.2,36.9,33.2,89.0,84.0,71.0,13.8,2.8,0.0,30.0,29.91,0.0
1/10/2024,44.4,41.9,39.0,42.0,39.5,37.0,95.0,91.0,84.0,14.0,5.1,0.0,30.0,29.91,0.01
1/11/2024,46.4,40.0,35.4,41.0,34.2,28.0,95.0,80.0,61.0,9.6,3.5,0.0,30.09,29.91,0.01
1/12/2024,44.9,37.1,29.6,35.6,30.0,26.0,86.0,76.0,65.0,14.0,4.4,0.0,30.18,30.09,0.0
1/13/2024,47.3,41.6,36.3,40.4,35.5,30.3,84.0,79.0,73.0,8.9,3.5,0.0,30.18,30.06,0.0
1/14/2024,50.0,45.4,41.5,47.8,41.6,38.1,93.0,87.0,79.0,12.0,3.2,0.0,30.06,29.94,0.0
1/15/2024,55.2,52.3,49.4,54.1,51.2,47.6,97.0,96.0,93.0,16.5,6.8,0.0,29.94,29.82,0.45
1/16/2024,59.1,54.8,51.6,54.1,51.3,44.4,96.0,89.0,66.0,16.5,6.6,0.0,29.85,29.71,0.0
1/17/2024,54.8,52.0,48.2,51.2,48.5,44.7,95.0,88.0,80.0,34.6,9.4,1.7,29.71,29.5,0.51
1/18/2024,56.8,51.6,49.6,50.7,48.8,46.7,95.0,90.0,77.0,23.2,8.6,0.0,29.76,29.68,0.01
1/19/2024,50.7,44.9,39.5,49.4,43.0,35.4,96.0,93.0,84.0,24.3,7.3,0.0,29.79,29.56,1.02
1/20/2024,49.1,41.5,33.6,42.9,36.5,30.7,95.0,83.0,56.0,20.5,3.6,0.0,30.27,29.82,0.0
1/21/2024,53.7,44.9,37.7,43.3,40.1,36.1,95.0,84.0,62.0,7.6,1.4,0.0,30.41,30.27,0.0
1/22/2024,55.2,43.6,36.1,47.6,40.6,34.8,96.0,89.0,72.0,8.2,1.2,0.0,30.47,30.38,0.0
1/23/2024,62.7,48.3,38.3,52.3,44.3,37.2,96.0,87.0,63.0,7.6,1.3,0.0,30.53,30.47,0.0
1/24/2024,64.5,53.5,43.7,52.8,47.6,41.7,93.0,81.0,62.0,8.9,2.1,0.0,30.53,30.44,0.0
1/25/2024,66.0,53.8,44.6,51.2,46.6,41.1,89.0,78.0,51.0,11.1,2.5,0.0,30.47,30.35,0.0
1/26/2024,69.0,55.5,45.3,48.9,45.1,41.1,88.0,70.0,39.0,11.6,2.2,0.0,30.38,30.3,0.0
1/27/2024,64.5,55.3,48.2,49.1,43.8,39.7,82.0,66.0,43.0,15.2,4.3,0.0,30.33,30.21,0.0
1/28/2024,62.6,53.1,45.1,47.4,43.8,39.7,84.0,71.0,52.0,9.6,4.2,0.0,30.27,30.18,0.0
1/29/2024,56.8,51.1,45.1,46.4,43.6,39.5,88.0,76.0,60.0,11.6,4.2,0.0,30.3,30.21,0.0
1/30/2024,55.9,48.2,42.2,46.9,43.2,40.1,93.0,83.0,68.0,9.6,3.4,0.0,30.35,30.3,0.0
1/31/2024,52.3,45.0,38.4,45.3,41.1,36.3,93.0,86.0,74.0,9.3,3.6,0.0,30.41,30.35,0.0
2/1/2024,64.7,51.2,41.7,46.2,40.8,36.8,92.0,70.0,37.0,15.4,3.5,0.0,30.44,30.35,0.0
2/2/2024,59.9,51.6,42.6,43.8,40.8,35.2,86.0,68.0,54.0,16.1,4.0,0.0,30.35,30.27,0.0
2/3/2024,59.9,50.4,42.4,42.0,39.2,35.2,86.0,67.0,47.0,14.9,4.8,0.0,30.35,30.3,0.0
2/4/2024,66.7,51.5,39.5,41.1,37.0,31.4,81.0,60.0,28.0,8.9,2.9,0.0,30.35,30.27,0.0
2/5/2024,61.5,49.8,41.1,42.6,38.1,33.8,78.0,66.0,37.0,7.6,2.3,0.0,30.3,30.21,0.0
2/6/2024,58.8,48.8,41.9,47.8,42.8,39.2,90.0,80.0,63.0,11.1,3.4,0.0,30.21,30.12,0.0
2/7/2024,51.9,48.1,44.0,48.3,45.4,41.9,95.0,91.0,78.0,16.5,6.9,0.0,30.15,30.0,0.0
2/8/2024,55.7,48.9,45.5,46.9,43.7,36.3,94.0,84.0,50.0,25.5,5.3,0.0,30.03,29.53,0.04
2/9/2024,53.6,49.2,46.2,50.1,46.8,43.1,96.0,92.0,85.0,23.9,6.5,0.0,29.53,29.11,0.37
2/10/2024,50.3,44.4,39.9,44.0,38.1,28.9,94.0,79.0,58.0,27.7,8.8,0.0,29.68,29.17,0.07
2/11/2024,45.5,39.9,34.7,41.3,36.9,29.1,95.0,89.0,58.0,15.6,5.7,0.0,29.79,29.68,0.01
2/12/2024,57.5,48.3,41.5,51.0,45.7,40.2,96.0,91.0,77.0,18.7,6.8,0.0,30.03,29.71,0.0
2/13/2024,61.3,53.8,49.1,55.5,50.6,47.3,95.0,89.0,75.0,14.5,4.7,0.0,30.18,30.0,0.0
2/14/2024,64.7,55.6,49.2,56.3,52.0,48.2,97.0,88.0,72.0,10.0,2.7,0.0,30.18,30.03,0.0
2/15/2024,55.4,52.5,49.6,52.5,49.5,47.3,95.0,90.0,78.0,12.5,5.4,0.0,30.03,29.88,0.12
2/16/2024,59.9,51.4,45.6,48.3,42.6,38.4,96.0,74.0,48.0,13.8,5.7,0.0,30.21,29.97,0.0
2/17/2024,67.8,51.9,41.1,45.5,40.1,35.2,88.0,67.0,33.0,9.3,2.6,0.0,30.38,30.21,0.0
2/18/2024,68.1,52.2,40.6,41.3,37.3,30.2,82.0,59.0,25.0,7.8,2.9,0.0,30.44,30.35,0.0
2/19/2024,68.3,55.2,44.7,50.1,43.6,37.0,82.0,66.0,47.0,9.6,2.5,0.0,30.38,30.27,0.0
2/20/2024,65.1,54.4,42.2,41.0,35.3,28.5,68.0,50.0,34.0,9.6,3.3,0.0,30.33,30.21,0.0
2/21/2024,59.7,51.7,41.5,47.8,41.8,35.7,84.0,70.0,52.0,12.9,4.1,0.0,30.24,30.06,0.0
2/22/2024,53.6,50.6,46.4,50.3,46.0,37.2,93.0,85.0,70.0,26.8,9.7,1.7,30.09,29.71,0.01
2/23/2024,49.4,42.7,36.1,40.1,35.5,30.0,92.0,77.0,58.0,21.0,8.7,1.7,29.82,29.73,0.07
2/24/2024,50.7,42.7,36.5,37.9,34.3,28.4,93.0,75.0,44.0,18.7,7.7,1.7,29.91,29.71,0.0
2/25/2024,54.8,48.3,42.2,50.1,45.3,37.5,96.0,90.0,76.0,31.9,11.7,3.1,29.91,29.62,0.0
2/26/2024,51.0,46.8,42.6,48.9,37.8,30.3,94.0,72.0,46.0,22.5,9.5,1.7,29.79,29.56,0.03
2/27/2024,51.2,43.9,36.8,31.6,28.4,23.0,73.0,55.0,40.0,20.5,7.2,0.0,30.06,29.79,0.0
2/28/2024,59.0,46.7,37.2,37.4,31.4,22.2,75.0,56.0,37.0,17.4,5.6,0.0,30.06,30.0,0.0
2/29/2024,58.8,47.4,39.2,42.6,36.3,31.6,81.0,67.0,40.0,19.2,5.7,0.0,30.06,29.85,0.0
3/1/2024,54.5,49.5,43.1,39.5,35.9,30.7,83.0,61.0,45.0,15.6,7.9,1.7,29.94,29.82,0.0
3/2/2024,47.3,42.6,33.9,44.0,39.1,30.7,94.0,87.0,71.0,23.7,9.8,1.7,29.82,29.41,0.39
3/3/2024,48.9,41.7,32.9,38.4,32.7,28.4,90.0,72.0,48.0,17.6,8.3,0.0,29.88,29.56,0.0
3/4/2024,54.3,46.8,40.8,47.3,43.1,37.4,96.0,87.0,74.0,21.6,7.9,0.0,30.0,29.88,0.0
3/5/2024,56.1,46.9,39.9,37.9,34.6,30.0,82.0,64.0,39.0,12.9,4.8,0.0,30.12,30.0,0.0
3/6/2024,58.1,47.0,36.6,40.1,35.6,31.8,86.0,66.0,39.0,9.1,3.3,0.0,30.09,29.88,0.0
3/7/2024,54.6,45.4,39.9,44.7,38.4,33.4,93.0,78.0,55.0,15.8,5.7,0.0,29.85,29.59,0.28
3/8/2024,50.0,43.9,39.7,41.9,38.0,35.7,93.0,81.0,61.0,25.5,8.7,0.0,29.62,29.41,0.36
3/9/2024,46.5,41.9,39.0,44.4,38.5,35.7,93.0,88.0,73.0,19.6,8.7,0.0,29.41,29.29,0.28
3/10/2024,53.6,45.2,39.7,45.3,41.1,36.8,95.0,86.0,63.0,21.4,8.7,1.7,29.76,29.35,0.64
3/11/2024,57.2,48.7,41.9,40.4,36.6,33.2,88.0,65.0,41.0,16.5,6.7,0.0,30.06,29.76,0.0
3/12/2024,64.5,50.0,38.4,42.9,38.7,35.0,89.0,68.0,38.0,9.1,3.1,0.0,30.09,30.0,0.0
3/13/2024,68.0,54.1,42.9,43.8,40.2,36.6,84.0,62.0,34.0,9.6,3.8,0.0,30.0,29.88,0.0
3/14/2024,59.9,53.4,46.4,49.4,45.1,40.6,87.0,74.0,55.0,15.6,5.7,0.0,30.03,29.91,0.0
3/15/2024,65.4,54.1,42.8,52.3,47.4,40.6,93.0,79.0,58.0,12.5,4.2,0.0,30.12,30.0,0.0
3/16/2024,67.6,54.9,46.4,54.6,49.6,45.1,96.0,83.0,55.0,8.7,2.6,0.0,30.21,30.12,0.0
3/17/2024,72.6,60.5,51.2,54.3,50.6,47.8,90.0,72.0,46.0,7.8,2.2,0.0,30.15,30.0,0.0
3/18/2024,70.5,60.4,51.0,54.8,50.6,47.3,90.0,71.0,47.0,8.2,2.1,0.0,30.03,29.94,0.0
3/19/2024,75.2,64.1,53.7,53.2,48.7,43.5,86.0,60.0,33.0,9.1,2.8,0.0,29.94,29.85,0.0
3/20/2024,72.8,63.2,53.9,51.8,47.6,45.1,77.0,58.0,40.0,12.7,3.9,0.0,29.91,29.79,0.0
3/21/2024,74.6,62.8,54.8,51.2,48.1,45.3,78.0,60.0,37.0,16.5,6.1,0.0,30.06,29.91,0.0
3/22/2024,76.4,65.2,54.5,51.2,48.0,42.8,83.0,56.0,34.0,12.0,4.9,0.0,30.06,29.91,0.0
3/23/2024,75.0,65.3,55.9,54.3,47.1,41.9,68.0,53.0,35.0,13.8,5.2,0.0,30.0,29.88,0.0
3/24/2024,70.8,60.3,51.8,50.3,46.6,42.2,80.0,62.0,40.0,11.4,5.9,0.0,29.91,29.65,0.0
3/25/2024,57.7,53.2,48.2,53.6,49.0,41.7,93.0,86.0,73.0,16.1,5.9,0.0,29.65,29.23,0.07
3/26/2024,48.3,42.0,36.8,41.9,35.8,30.5,94.0,80.0,51.0,25.0,8.3,0.0,29.32,29.26,0.15
3/27/2024,52.8,47.1,40.1,49.4,44.1,38.6,95.0,90.0,76.0,35.1,10.9,0.0,29.44,29.32,0.17
3/28/2024,60.6,52.1,44.0,51.6,46.5,41.3,94.0,82.0,61.0,41.6,9.9,1.7,29.53,29.38,0.44
3/29/2024,52.3,44.4,40.2,49.4,42.2,38.1,95.0,92.0,83.0,18.7,5.4,0.0,29.44,29.32,0.31
3/30/2024,52.5,44.6,39.9,44.2,40.7,37.7,95.0,87.0,61.0,16.1,5.9,0.0,29.41,29.23,0.31
3/31/2024,50.7,43.0,40.2,42.6,39.8,37.0,95.0,89.0,67.0,19.0,6.7,0.0,29.59,29.26,0.44
4/1/2024,54.6,45.3,38.8,45.1,39.6,36.3,94.0,81.0,55.0,23.0,7.7,0.0,29.97,29.59,0.03
4/2/2024,58.6,49.4,40.2,45.8,41.7,37.9,92.0,76.0,52.0,16.3,4.1,0.0,30.0,29.91,0.0
4/3/2024,63.3,54.4,47.4,50.0,45.5,42.8,89.0,73.0,49.0,15.2,5.1,0.0,30.06,29.94,0.0
4/4/2024,70.8,57.9,46.9,52.7,47.9,43.8,90.0,71.0,47.0,10.7,2.7,0.0,30.06,29.94,0.0
