Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,49.3,43.3,37.9,43.0,37.4,31.5,97.0,80.0,51.0,12.5,2.6,0.0,30.17,30.05,0.0
1/2/2024,48.4,40.6,36.3,48.0,40.1,36.0,99.0,98.0,92.0,9.2,1.0,0.0,30.18,30.08,0.0
1/3/2024,54.0,50.8,46.4,53.1,49.4,45.1,99.0,96.0,76.0,13.9,3.0,0.0,30.11,30.03,0.03
1/4/2024,49.5,45.2,39.2,49.1,44.5,38.8,99.0,98.0,89.0,6.0,1.2,0.0,30.1,29.81,0.08
1/5/2024,46.9,43.1,39.9,45.1,36.5,31.5,99.0,78.0,56.0,25.5,7.5,0.0,29.94,29.75,0.14
1/6/2024,47.7,41.6,36.9,34.7,32.9,30.9,82.0,72.0,55.0,18.3,4.4,0.0,30.15,29.92,0.0
1/7/2024,49.3,40.8,36.1,33.3,31.4,29.7,83.0,70.0,48.0,14.3,3.6,0.0,30.17,30.11,0.0
1/8/2024,47.5,40.0,35.4,36.1,32.4,28.8,86.0,74.0,54.0,14.3,3.7,0.0,30.15,30.04,0.0
1/9/2024,44.1,40.5,37.4,39.6,37.6,35.1,97.0,89.0,82.0,6.0,1.0,0.0,30.08,30.01,0.0
1/10/2024,46.4,41.5,38.8,43.0,39.8,37.4,99.0,94.0,81.0,11.4,3.0,0.0,30.09,30.01,0.08
1/11/2024,47.8,40.9,35.2,38.7,33.0,27.5,96.0,75.0,47.0,13.4,2.8,0.0,30.19,30.03,0.0
1/12/2024,44.2,37.0,28.2,32.7,28.9,25.3,90.0,73.0,56.0,8.7,1.8,0.0,30.27,30.17,0.0
1/13/2024,46.4,40.0,34.2,41.4,36.7,31.3,98.0,88.0,79.0,6.3,0.8,0.0,30.28,30.15,0.0
1/14/2024,49.3,43.8,37.8,46.9,42.0,37.2,99.0,94.0,88.0,9.4,1.4,0.0,30.17,30.02,0.04
1/15/2024,56.1,50.3,44.6,54.1,49.8,44.2,99.0,98.0,92.0,17.7,3.3,0.0,30.03,29.91,0.29
1/16/2024,57.6,54.1,50.2,54.9,51.9,47.5,99.0,93.0,76.0,17.2,4.5,0.0,29.96,29.78,0.01
1/17/2024,53.2,50.7,46.9,50.9,48.6,43.7,99.0,93.0,82.0,31.5,7.7,0.0,29.78,29.58,0.57
1/18/2024,57.4,51.7,48.9,50.4,48.7,46.6,99.0,90.0,73.0,25.1,7.3,0.0,29.85,29.75,0.03
1/19/2024,49.3,43.9,35.1,48.9,42.5,29.8,99.0,95.0,81.0,17.5,4.1,0.0,29.93,29.65,1.24
1/20/2024,54.0,40.9,33.8,40.8,34.9,29.1,98.0,80.0,52.0,16.8,3.9,0.0,30.38,29.92,0.0
1/21/2024,52.7,42.0,33.4,43.9,38.4,32.7,99.0,88.0,68.0,7.8,2.4,0.0,30.51,30.37,0.0
1/22/2024,56.5,43.1,33.3,50.7,40.9,32.9,99.0,92.0,78.0,7.4,1.4,0.0,30.58,30.48,0.0
1/23/2024,59.9,50.7,42.1,52.2,47.1,41.4,98.0,88.0,73.0,8.1,1.3,0.0,30.63,30.55,0.0
1/24/2024,67.1,51.5,40.8,54.3,46.6,40.1,99.0,85.0,57.0,4.9,1.2,0.0,30.64,30.55,0.01
1/25/2024,67.5,51.2,40.3,52.2,45.2,38.3,97.0,82.0,49.0,5.6,1.3,0.0,30.57,30.44,0.0
1/26/2024,70.0,52.6,41.4,53.1,44.9,39.4,96.0,78.0,43.0,4.3,1.3,0.0,30.48,30.39,0.0
1/27/2024,65.8,51.7,41.2,47.8,42.7,37.9,92.0,74.0,45.0,9.0,1.6,0.0,30.41,30.31,0.0
1/28/2024,62.8,50.0,37.9,47.5,43.0,37.2,97.0,79.0,54.0,8.7,1.6,0.0,30.35,30.29,0.0
1/29/2024,59.4,49.6,41.2,48.0,43.9,39.6,96.0,82.0,54.0,7.8,1.2,0.0,30.4,30.3,0.0
1/30/2024,57.6,46.4,35.8,47.8,43.0,35.4,99.0,89.0,68.0,6.9,0.9,0.0,30.47,30.38,0.0
1/31/2024,56.8,45.1,31.6,48.2,41.9,31.3,99.0,89.0,71.0,6.5,0.7,0.0,30.52,30.45,0.0
2/1/2024,64.2,49.5,37.0,49.1,41.5,34.9,98.0,76.0,47.0,10.1,1.7,0.0,30.54,30.44,0.01
2/2/2024,61.7,53.1,43.9,45.5,38.9,29.7,80.0,59.0,45.0,11.4,2.8,0.0,30.46,30.37,0.0
2/3/2024,61.5,47.9,35.6,44.8,38.9,34.7,96.0,74.0,44.0,9.6,1.7,0.0,30.45,30.39,0.0
2/4/2024,65.7,47.7,35.2,41.5,35.7,30.0,85.0,66.0,32.0,5.8,1.7,0.0,30.45,30.37,0.0
2/5/2024,63.5,46.6,33.3,43.9,36.5,29.3,88.0,69.0,39.0,6.3,1.8,0.0,30.41,30.3,0.0
2/6/2024,60.4,50.3,43.2,50.4,43.0,37.8,86.0,76.0,61.0,11.9,2.5,0.0,30.31,30.21,0.0
2/7/2024,52.2,46.4,36.5,48.4,43.6,36.0,98.0,90.0,79.0,13.4,4.6,0.0,30.25,30.1,0.0
2/8/2024,52.3,47.1,44.2,48.2,45.1,38.7,99.0,94.0,62.0,18.3,3.5,0.0,30.11,29.61,0.06
2/9/2024,50.7,47.5,45.0,50.4,46.8,43.9,99.0,98.0,86.0,19.9,4.7,0.0,29.62,29.2,0.57
2/10/2024,50.0,44.7,40.1,44.4,36.5,30.0,99.0,74.0,57.0,26.0,9.6,0.9,29.77,29.27,0.06
2/11/2024,46.8,40.8,37.4,41.2,35.4,29.5,99.0,82.0,61.0,19.5,4.0,0.0,29.89,29.76,0.06
2/12/2024,59.5,47.9,38.1,51.4,44.5,37.8,99.0,89.0,65.0,15.4,3.3,0.0,30.12,29.79,0.01
2/13/2024,63.9,53.4,46.4,56.3,50.5,44.6,99.0,90.0,73.0,10.3,2.5,0.0,30.26,30.08,0.0
2/14/2024,61.9,54.1,47.3,55.4,51.9,46.9,99.0,93.0,78.0,8.7,1.1,0.0,30.27,30.12,0.0
2/15/2024,57.9,53.6,49.8,53.1,50.8,45.7,99.0,91.0,78.0,15.9,2.7,0.0,30.13,29.96,0.11
2/16/2024,58.6,51.4,46.9,46.9,42.4,39.4,86.0,72.0,52.0,19.9,4.8,0.0,30.33,30.06,0.0
2/17/2024,65.8,53.1,44.8,45.0,38.2,31.6,83.0,60.0,30.0,15.7,4.8,0.0,30.49,30.32,0.0
2/18/2024,63.5,51.3,36.7,46.0,37.8,30.7,81.0,61.0,40.0,11.2,2.4,0.0,30.54,30.46,0.0
2/19/2024,66.7,55.5,44.8,49.8,43.9,39.2,83.0,66.0,47.0,12.1,2.9,0.0,30.5,30.38,0.0
2/20/2024,64.2,50.8,37.8,45.9,37.5,25.9,88.0,63.0,27.0,10.1,1.8,0.0,30.45,30.32,0.0
2/21/2024,60.3,50.5,37.8,48.9,37.2,24.4,80.0,61.0,41.0,11.6,2.5,0.0,30.35,30.17,0.0
2/22/2024,54.5,50.8,46.4,51.6,45.9,34.7,95.0,84.0,60.0,28.4,7.1,0.0,30.19,29.81,0.04
2/23/2024,50.4,44.4,39.9,39.6,34.6,30.6,82.0,68.0,53.0,21.5,7.8,0.7,29.92,29.82,0.0
2/24/2024,51.8,45.0,37.2,37.8,32.3,28.0,92.0,62.0,41.0,23.3,6.6,0.0,30.02,29.81,0.0
2/25/2024,55.8,49.8,42.3,49.8,45.7,37.6,91.0,86.0,77.0,25.1,11.1,0.0,30.01,29.72,0.0
2/26/2024,52.0,47.1,41.2,49.1,36.6,29.8,91.0,67.0,49.0,23.0,7.9,0.2,29.94,29.66,0.03
2/27/2024,51.1,43.4,37.0,32.4,29.6,25.7,74.0,59.0,45.0,25.5,6.3,0.0,30.16,29.93,0.0
2/28/2024,55.6,47.6,41.2,38.7,33.3,26.2,68.0,58.0,46.0,24.2,7.6,0.7,30.19,30.13,0.0
2/29/2024,59.0,49.8,41.4,43.5,36.2,28.9,77.0,60.0,41.0,26.2,7.5,0.0,30.16,29.97,0.0
3/1/2024,58.1,46.3,37.6,40.3,33.6,27.9,82.0,62.0,43.0,19.7,5.7,0.0,30.12,29.91,0.0
3/2/2024,46.9,43.1,35.8,45.3,39.4,31.1,95.0,87.0,70.0,27.5,8.2,0.0,29.92,29.5,0.26
3/3/2024,49.8,43.1,36.9,37.8,32.2,27.1,80.0,66.0,48.0,23.9,7.6,0.0,29.99,29.67,0.0
3/4/2024,55.8,47.9,42.3,47.3,41.5,35.2,92.0,79.0,59.0,21.0,6.3,0.0,30.12,29.98,0.0
3/5/2024,58.3,48.2,41.7,38.7,34.9,31.1,75.0,61.0,38.0,17.9,4.0,0.0,30.23,30.11,0.0
3/6/2024,57.9,46.1,32.4,39.9,34.8,29.5,90.0,66.0,41.0,10.7,2.2,0.0,30.19,29.96,0.0
3/7/2024,51.3,44.4,37.6,45.1,38.2,33.6,97.0,80.0,60.0,22.4,2.6,0.0,29.97,29.67,0.45
3/8/2024,47.7,42.0,38.1,42.8,39.4,36.5,98.0,91.0,73.0,22.8,6.7,0.0,29.72,29.47,0.67
3/9/2024,47.1,41.7,38.3,44.6,38.7,34.7,98.0,89.0,73.0,23.7,6.7,0.0,29.47,29.36,0.15
3/10/2024,54.7,45.7,39.0,43.0,39.1,36.0,96.0,79.0,52.0,23.0,6.6,0.0,29.88,29.44,0.06
3/11/2024,58.1,49.8,44.1,40.3,36.4,34.0,74.0,61.0,41.0,20.6,5.5,0.0,30.17,29.87,0.0
3/12/2024,61.7,51.1,39.4,42.6,39.6,36.5,90.0,66.0,43.0,14.8,2.6,0.0,30.2,30.11,0.0
3/13/2024,66.4,51.6,37.8,44.8,40.1,35.8,93.0,68.0,35.0,8.7,2.0,0.0,30.12,29.97,0.0
3/14/2024,60.8,51.3,40.5,50.5,44.3,38.1,92.0,78.0,58.0,15.2,4.2,0.0,30.14,30.0,0.0
3/15/2024,66.7,54.8,43.0,54.3,47.6,39.9,91.0,77.0,55.0,13.9,2.6,0.0,30.24,30.11,0.0
3/16/2024,64.8,54.7,43.0,54.9,49.2,41.7,96.0,82.0,66.0,9.8,1.8,0.0,30.3,30.21,0.0
3/17/2024,71.1,57.5,44.6,55.2,50.4,43.9,97.0,79.0,54.0,7.6,1.5,0.0,30.25,30.11,0.0
3/18/2024,70.7,58.5,46.2,55.6,50.9,44.4,95.0,77.0,53.0,8.5,1.6,0.0,30.14,30.04,0.0
3/19/2024,73.9,61.3,47.7,54.9,50.1,44.4,96.0,69.0,38.0,9.4,1.8,0.0,30.05,29.95,0.0
3/20/2024,72.1,63.0,51.8,51.6,48.1,45.5,82.0,59.0,41.0,12.3,2.7,0.0,30.02,29.91,0.01
3/21/2024,75.4,63.8,53.6,51.8,48.0,45.7,88.0,58.0,39.0,15.7,3.9,0.0,30.18,30.0,0.01
