Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,50.9,40.2,29.8,42.3,37.4,28.4,99.0,91.0,60.0,2.9,0.1,0.0,29.95,29.8,0.0
1/2/2024,47.1,38.6,28.6,45.3,36.8,27.9,98.0,94.0,85.0,2.2,0.0,0.0,29.96,29.85,0.0
1/3/2024,55.4,50.2,44.2,53.6,49.2,43.5,99.0,96.0,92.0,5.4,0.4,0.0,29.88,29.8,0.25
1/4/2024,54.5,49.0,43.7,50.9,48.2,43.3,99.0,97.0,86.0,4.0,0.2,0.0,29.86,29.56,0.28
1/5/2024,49.5,43.7,36.9,47.1,38.7,32.5,98.0,83.0,54.0,9.2,1.0,0.0,29.67,29.47,0.05
1/6/2024,49.5,37.0,28.9,35.1,31.0,27.0,96.0,80.0,52.0,6.7,0.7,0.0,29.88,29.66,0.0
1/7/2024,49.3,34.0,25.5,33.3,28.1,23.9,96.0,81.0,47.0,6.3,0.6,0.0,29.93,29.85,0.0
1/8/2024,46.2,32.2,21.4,32.7,27.2,19.6,95.0,83.0,48.0,2.5,0.2,0.0,29.9,29.8,0.0
1/9/2024,45.9,38.7,32.9,38.8,34.9,30.6,95.0,87.0,75.0,2.5,0.1,0.0,29.85,29.77,0.0
1/10/2024,44.1,40.8,36.3,42.1,39.1,34.9,97.0,94.0,89.0,4.3,0.3,0.0,29.85,29.77,0.15
1/11/2024,48.6,37.0,26.2,41.5,32.0,24.3,99.0,84.0,50.0,6.9,0.6,0.0,29.95,29.77,0.0
1/12/2024,48.2,31.6,19.8,36.7,27.5,17.8,96.0,86.0,60.0,2.5,0.1,0.0,30.03,29.92,0.0
1/13/2024,50.2,37.5,27.0,42.8,34.4,26.1,97.0,89.0,72.0,2.9,0.1,0.0,30.04,29.91,0.0
1/14/2024,50.4,43.0,36.5,47.8,40.9,35.2,99.0,92.0,79.0,2.5,0.1,0.0,29.92,29.78,0.08
1/15/2024,55.8,51.8,47.5,55.0,51.1,46.0,99.0,98.0,93.0,6.3,0.6,0.0,29.8,29.68,0.28
1/16/2024,59.5,54.8,50.7,55.4,51.7,42.4,98.0,90.0,62.0,7.2,0.8,0.0,29.73,29.57,0.01
1/17/2024,53.4,51.4,49.5,50.9,48.7,45.9,98.0,91.0,81.0,10.3,1.3,0.0,29.58,29.36,0.53
1/18/2024,55.9,51.4,49.6,52.5,49.1,46.2,99.0,92.0,84.0,7.2,0.8,0.0,29.62,29.52,0.16
1/19/2024,50.4,49.7,47.3,50.0,49.4,46.9,99.0,99.0,98.0,4.5,0.2,0.0,29.6,29.45,0.5
1/20/2024,46.4,44.7,41.4,43.9,43.1,40.8,98.0,94.0,89.0,2.2,0.0,0.0,30.12,29.97,0.0
1/21/2024,55.9,43.4,32.0,44.1,40.0,31.3,99.0,89.0,57.0,3.8,0.3,0.0,30.28,30.12,0.0
1/22/2024,54.5,38.2,28.2,46.2,36.0,27.9,99.0,93.0,71.0,3.6,0.2,0.0,30.35,30.25,0.01
1/23/2024,62.6,43.3,30.7,52.9,40.7,30.4,99.0,92.0,67.0,4.5,0.3,0.0,30.39,30.31,0.0
1/24/2024,71.6,47.6,33.3,52.7,42.5,32.9,99.0,86.0,41.0,2.7,0.2,0.0,30.39,30.3,0.01
1/25/2024,71.8,47.0,32.0,50.5,41.0,31.6,99.0,84.0,35.0,2.9,0.1,0.0,30.33,30.19,0.0
1/26/2024,74.7,47.6,33.3,51.4,41.4,32.7,99.0,83.0,30.0,2.5,0.1,0.0,30.24,30.14,0.01
1/27/2024,69.8,47.4,34.7,49.8,40.8,34.3,99.0,82.0,35.0,2.5,0.1,0.0,30.18,30.06,0.0
1/28/2024,67.6,45.7,31.3,46.9,39.0,30.6,99.0,81.0,41.0,2.5,0.1,0.0,30.11,30.04,0.0
1/29/2024,59.5,44.6,33.8,46.0,39.7,33.3,99.0,85.0,50.0,2.9,0.1,0.0,30.17,30.07,0.0
1/30/2024,59.5,41.7,31.8,47.8,38.3,31.3,99.0,89.0,61.0,3.4,0.1,0.0,30.23,30.14,0.0
1/31/2024,54.9,41.3,32.5,45.9,38.5,31.8,99.0,91.0,70.0,3.8,0.4,0.0,30.28,30.2,0.01
2/1/2024,68.0,44.8,30.0,42.8,35.9,29.3,98.0,76.0,34.0,7.2,0.5,0.0,30.3,30.18,0.0
2/2/2024,63.0,43.9,30.6,43.7,36.3,29.3,96.0,78.0,43.0,8.5,0.4,0.0,30.22,30.13,0.0
2/3/2024,65.5,42.6,28.8,42.1,33.6,27.9,97.0,76.0,31.0,3.1,0.2,0.0,30.22,30.14,0.0
2/4/2024,67.5,42.9,28.6,42.6,33.6,27.1,96.0,74.0,27.0,4.0,0.3,0.0,30.21,30.12,0.0
2/5/2024,63.5,42.6,29.1,41.7,33.6,27.5,95.0,75.0,35.0,3.4,0.2,0.0,30.18,30.05,0.0
2/6/2024,59.2,43.1,32.7,45.5,38.0,30.9,96.0,84.0,56.0,2.9,0.2,0.0,30.08,29.96,0.0
2/7/2024,52.9,43.0,32.2,48.0,41.1,31.3,99.0,93.0,73.0,4.9,0.3,0.0,30.01,29.87,0.0
2/8/2024,53.4,48.2,41.9,47.7,44.3,37.0,99.0,87.0,54.0,7.6,0.6,0.0,29.88,29.4,0.11
2/9/2024,54.1,48.7,46.0,51.1,47.4,43.3,99.0,96.0,86.0,6.5,0.9,0.0,29.41,28.98,0.86
2/10/2024,51.6,44.9,38.5,44.4,37.7,32.0,96.0,77.0,56.0,9.8,2.1,0.0,29.51,29.03,0.11
2/11/2024,47.7,38.9,29.7,41.5,35.3,27.5,98.0,87.0,74.0,4.9,0.4,0.0,29.66,29.5,0.0
2/12/2024,61.2,49.2,41.5,51.4,46.2,41.0,99.0,90.0,64.0,7.8,1.1,0.0,29.88,29.55,0.01
2/13/2024,63.9,52.1,43.9,53.6,49.3,43.3,99.0,91.0,65.0,4.9,0.3,0.0,30.03,29.85,0.0
2/14/2024,69.3,54.4,43.3,55.4,50.0,42.8,99.0,87.0,57.0,3.4,0.2,0.0,30.03,29.88,0.0
2/15/2024,61.3,50.3,41.2,54.0,47.6,40.6,99.0,91.0,65.0,12.1,0.2,0.0,29.89,29.73,0.09
2/16/2024,62.1,49.6,39.2,49.3,42.9,36.7,98.0,80.0,46.0,7.4,1.0,0.0,30.09,29.79,0.02
2/17/2024,65.1,44.6,30.2,41.2,32.9,26.6,98.0,70.0,26.0,6.0,0.6,0.0,30.24,30.07,0.0
2/18/2024,66.0,45.3,29.7,41.4,34.2,28.0,95.0,70.0,30.0,5.4,0.3,0.0,30.29,30.21,0.0
2/19/2024,69.4,48.4,33.3,48.4,37.5,32.0,96.0,71.0,29.0,10.1,0.5,0.0,30.26,30.12,0.0
2/20/2024,68.9,48.6,29.8,37.4,31.9,25.5,86.0,58.0,25.0,4.5,0.3,0.0,30.2,30.05,0.0
2/21/2024,64.0,46.0,29.8,46.0,37.5,28.0,94.0,75.0,42.0,3.6,0.2,0.0,30.12,29.92,0.0
2/22/2024,56.7,49.2,38.8,50.4,44.6,37.0,97.0,84.0,67.0,10.1,1.5,0.0,29.94,29.55,0.24
2/23/2024,50.5,43.0,36.5,41.7,35.0,30.4,89.0,74.0,57.0,10.5,2.2,0.0,29.67,29.56,0.04
2/24/2024,50.9,42.5,36.0,36.9,33.5,28.0,94.0,73.0,44.0,10.5,1.6,0.0,29.77,29.56,0.01
2/25/2024,56.5,48.5,40.8,49.1,44.6,36.3,96.0,87.0,73.0,11.9,2.3,0.0,29.76,29.48,0.0
2/26/2024,54.1,47.2,40.5,48.9,38.3,30.6,95.0,73.0,41.0,9.6,2.5,0.0,29.62,29.39,0.06
2/27/2024,52.7,43.4,37.4,34.2,30.2,26.4,71.0,60.0,46.0,12.8,3.5,0.0,29.89,29.61,0.0
2/28/2024,59.4,43.7,29.8,37.8,32.2,25.0,87.0,66.0,41.0,12.1,1.6,0.0,29.93,29.85,0.0
2/29/2024,59.2,43.4,27.5,42.8,32.8,24.1,94.0,69.0,44.0,12.3,1.8,0.0,29.91,29.7,0.0
3/1/2024,57.0,42.3,25.0,38.1,30.0,21.9,89.0,64.0,42.0,7.4,1.1,0.0,29.86,29.68,0.0
3/2/2024,47.7,41.5,32.0,42.8,38.1,31.5,98.0,88.0,74.0,9.6,1.2,0.0,29.69,29.25,0.17
3/3/2024,51.8,39.9,28.2,36.3,32.2,27.1,98.0,76.0,42.0,10.5,1.4,0.0,29.74,29.42,0.38
3/4/2024,55.4,46.5,36.9,47.3,42.4,33.4,97.0,86.0,71.0,9.4,1.2,0.0,29.87,29.73,0.0
3/5/2024,58.3,41.7,28.9,40.1,33.2,27.7,96.0,75.0,40.0,3.4,0.2,0.0,29.98,29.85,0.0
3/6/2024,61.2,41.7,25.9,39.0,32.7,24.3,95.0,74.0,38.0,3.8,0.1,0.0,29.96,29.74,0.0
3/7/2024,55.9,42.2,28.9,45.0,37.6,27.7,97.0,85.0,55.0,6.5,0.6,0.0,29.75,29.45,0.33
3/8/2024,53.2,43.2,37.4,41.9,38.2,35.6,97.0,83.0,53.0,8.3,1.2,0.0,29.51,29.29,0.33
3/9/2024,46.2,41.4,36.7,44.6,38.9,34.9,99.0,91.0,75.0,8.1,1.2,0.0,29.29,29.13,1.07
3/10/2024,55.4,45.1,38.1,45.5,40.5,36.0,97.0,85.0,55.0,11.6,1.5,0.0,29.61,29.21,0.36
3/11/2024,59.4,47.0,37.2,39.2,36.0,32.4,88.0,68.0,38.0,8.5,1.4,0.0,29.92,29.6,0.0
3/12/2024,64.9,45.0,29.3,41.9,35.5,28.0,96.0,73.0,39.0,6.3,0.4,0.0,29.95,29.86,0.0
3/13/2024,70.5,48.2,32.0,45.1,37.8,30.7,96.0,72.0,31.0,3.4,0.1,0.0,29.88,29.72,0.0
3/14/2024,64.4,47.8,33.3,51.1,41.9,32.2,97.0,81.0,56.0,4.5,0.3,0.0,29.89,29.76,0.0
3/15/2024,65.7,49.8,36.0,52.3,44.5,35.1,99.0,84.0,56.0,4.0,0.1,0.0,29.99,29.87,0.0
3/16/2024,69.8,53.1,40.3,54.9,47.4,39.4,99.0,83.0,47.0,3.8,0.1,0.0,30.06,29.97,0.0
3/17/2024,72.3,55.6,40.1,53.2,47.0,39.4,97.0,76.0,44.0,4.9,0.1,0.0,30.01,29.87,0.0
3/18/2024,72.0,55.8,39.4,54.7,47.6,38.5,97.0,77.0,43.0,3.1,0.1,0.0,29.91,29.79,0.0
3/19/2024,77.2,58.9,43.3,54.0,47.4,38.7,97.0,71.0,25.0,4.5,0.1,0.0,29.82,29.7,0.0
3/20/2024,75.7,57.6,43.5,52.3,47.0,41.7,95.0,71.0,38.0,5.4,0.3,0.0,29.8,29.68,0.02
3/21/2024,78.4,62.3,51.3,51.8,47.8,44.4,87.0,62.0,33.0,3.8,0.2,0.0,29.93,29.79,0.0
3/22/2024,81.7,60.5,45.7,51.3,46.1,42.3,93.0,65.0,28.0,4.0,0.1,0.0,29.94,29.78,0.0
3/23/2024,80.2,59.5,44.6,54.7,46.6,40.3,92.0,67.0,26.0,5.4,0.2,0.0,29.87,29.74,0.0
3/24/2024,74.8,56.8,43.3,49.8,45.1,41.0,93.0,69.0,35.0,4.5,0.2,0.0,29.8,29.5,0.0
3/25/2024,55.6,51.9,48.4,54.1,50.1,44.4,99.0,94.0,79.0,6.5,0.3,0.0,29.51,29.1,0.4
3/26/2024,50.7,43.0,36.7,45.0,36.6,30.4,95.0,79.0,48.0,9.4,1.3,0.0,29.18,29.1,0.21
3/27/2024,56.7,46.5,38.7,49.3,44.0,36.7,97.0,91.0,71.0,11.2,1.8,0.0,29.29,29.17,0.35
3/28/2024,60.8,51.2,43.9,53.4,46.8,41.0,98.0,86.0,60.0,9.8,1.5,0.0,29.4,29.24,0.87
3/29/2024,51.4,46.1,35.8,50.7,44.7,35.2,99.0,95.0,79.0,7.6,0.8,0.0,29.31,29.16,0.88
3/30/2024,54.3,43.7,35.1,44.6,40.9,34.5,99.0,91.0,60.0,8.1,0.8,0.0,29.29,29.09,0.37
3/31/2024,51.1,42.8,39.2,43.9,40.4,37.4,99.0,92.0,70.0,9.4,0.8,0.0,29.44,29.12,0.61
4/1/2024,56.8,45.2,36.0,44.8,39.2,35.1,98.0,81.0,49.0,9.6,1.2,0.0,29.82,29.44,0.02
4/2/2024,58.6,47.0,32.7,46.8,40.3,32.0,98.0,79.0,51.0,7.6,0.2,0.0,29.87,29.75,0.0
4/3/2024,67.1,52.2,41.7,50.0,44.5,39.7,95.0,78.0,44.0,5.1,0.2,0.0,29.92,29.8,0.0
4/4/2024,73.0,52.5,35.4,51.6,43.6,34.5,97.0,76.0,39.0,5.1,0.1,0.0,29.92,29.78,0.0
4/5/2024,75.4,55.8,38.1,50.7,43.9,36.7,96.0,70.0,28.0,3.6,0.1,0.0,29.85,29.71,0.0
4/6/2024,79.7,65.2,49.8,57.6,46.8,38.8,84.0,53.0,33.0,6.3,0.3,0.0,29.79,29.65,0.0
4/7/2024,76.5,62.7,52.3,54.7,51.6,47.5,91.0,70.0,41.0,5.4,0.4,0.0,29.79,29.66,0.0
4/8/2024,67.5,56.1,45.9,53.2,47.2,37.8,96.0,73.0,42.0,8.1,1.1,0.0,29.84,29.65,0.03
4/9/2024,63.7,48.3,33.4,39.7,33.0,27.1,92.0,60.0,27.0,6.9,0.9,0.0,30.15,29.83,0.0
4/10/2024,70.7,52.1,33.3,46.6,38.3,30.9,92.0,64.0,34.0,5.6,0.6,0.0,30.16,30.05,0.0
4/11/2024,81.9,60.8,43.9,50.5,44.4,39.4,88.0,60.0,26.0,9.6,0.6,0.0,30.17,30.03,0.0
4/12/2024,80.6,58.3,38.3,50.0,41.9,35.2,89.0,60.0,27.0,3.1,0.3,0.0,30.22,30.08,0.0
4/13/2024,84.0,60.1,39.0,50.2,43.4,36.9,93.0,61.0,24.0,4.5,0.2,0.0,30.15,30.01,0.0
4/14/2024,83.5,61.5,41.2,55.0,44.2,38.1,91.0,60.0,25.0,3.8,0.3,0.0,30.07,29.91,0.0
4/15/2024,84.4,64.1,46.6,54.5,47.7,43.9,91.0,61.0,26.0,5.1,0.4,0.0,29.95,29.8,0.0
4/16/2024,82.8,61.4,41.9,49.5,43.6,39.2,91.0,57.0,27.0,7.4,0.6,0.0,29.88,29.7,0.0
4/17/2024,73.9,57.5,44.1,43.9,39.0,33.8,77.0,54.0,24.0,8.5,0.8,0.0,29.79,29.69,0.0
4/18/2024,74.5,55.3,37.4,48.0,37.0,32.7,85.0,55.0,24.0,6.9,0.5,0.0,29.86,29.73,0.0
4/19/2024,76.1,55.3,34.9,46.4,38.5,30.0,83.0,57.0,28.0,3.8,0.2,0.0,29.9,29.75,0.0
4/20/2024,79.5,58.2,39.7,50.5,39.1,28.9,93.0,58.0,16.0,8.5,0.3,0.0,29.8,29.63,0.0
4/21/2024,79.0,58.4,37.6,43.5,34.0,24.8,84.0,45.0,17.0,5.8,0.2,0.0,29.77,29.65,0.0
4/22/2024,68.0,53.9,41.5,33.6,26.3,19.4,68.0,37.0,17.0,10.3,1.2,0.0,29.84,29.69,0.0
4/23/2024,65.5,48.1,28.8,37.9,28.5,21.2,80.0,49.0,29.0,9.8,1.2,0.0,29.86,29.73,0.0
4/24/2024,66.9,49.0,29.5,37.0,29.4,18.5,89.0,54.0,21.0,6.5,0.6,0.0,29.87,29.69,0.0
4/25/2024,67.5,50.7,34.2,43.3,35.3,31.3,90.0,60.0,31.0,6.7,0.6,0.0,29.69,29.48,0.0
4/26/2024,65.1,51.3,36.9,44.6,38.4,33.4,88.0,64.0,39.0,7.8,0.5,0.0,29.53,29.39,0.0
4/27/2024,60.3,52.5,45.9,47.7,43.7,38.3,96.0,73.0,47.0,7.6,1.0,0.0,29.53,29.28,0.25
4/28/2024,66.7,48.9,31.6,44.8,36.2,30.0,95.0,67.0,29.0,4.5,0.3,0.0,29.69,29.52,0.0
4/29/2024,64.8,49.0,35.2,48.6,40.9,33.3,94.0,75.0,36.0,6.9,0.4,0.0,29.76,29.67,0.09
4/30/2024,67.1,53.4,37.0,49.1,41.5,34.2,96.0,69.0,32.0,7.8,0.8,0.0,29.76,29.63,0.0
5/1/2024,58.8,50.5,43.2,46.9,38.6,29.8,90.0,66.0,35.0,9.8,1.5,0.0,29.69,29.56,0.01
