Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,53.1,41.9,35.1,41.2,38.1,34.7,99.0,88.0,56.0,6.5,0.4,0.0,29.81,29.67,0.0
1/2/2024,44.2,40.7,37.0,43.9,39.7,36.5,99.0,96.0,87.0,4.0,0.3,0.0,29.81,29.7,0.0
1/3/2024,54.3,50.7,43.9,53.4,49.9,43.5,99.0,97.0,87.0,9.2,1.5,0.0,29.73,29.63,0.15
1/4/2024,50.7,47.6,45.5,50.4,47.2,45.1,99.0,99.0,96.0,4.5,0.2,0.0,29.72,29.43,0.18
1/5/2024,47.3,43.4,39.0,46.6,37.2,31.3,99.0,80.0,56.0,13.2,3.0,0.0,29.53,29.34,0.06
1/6/2024,47.7,41.8,37.6,34.3,32.6,29.8,80.0,70.0,54.0,15.4,3.0,0.0,29.73,29.52,0.0
1/7/2024,54.7,40.1,33.1,33.6,30.7,27.1,90.0,70.0,39.0,5.4,0.6,0.0,29.78,29.7,0.0
1/8/2024,47.7,37.8,28.8,34.2,30.3,26.1,92.0,75.0,51.0,4.7,0.4,0.0,29.76,29.65,0.0
1/9/2024,46.2,41.2,39.0,38.7,36.7,33.6,91.0,84.0,74.0,3.6,0.4,0.0,29.7,29.63,0.0
1/10/2024,46.6,42.1,38.7,42.6,39.9,37.6,99.0,92.0,83.0,9.8,1.2,0.0,29.69,29.63,0.02
1/11/2024,50.2,39.4,32.0,41.0,33.1,26.4,99.0,80.0,51.0,7.8,0.7,0.0,29.81,29.64,0.01
1/12/2024,48.0,37.0,30.7,32.0,28.3,25.5,82.0,71.0,47.0,5.8,0.7,0.0,29.88,29.79,0.0
1/13/2024,48.2,40.9,34.2,39.9,34.7,29.3,88.0,79.0,68.0,2.9,0.3,0.0,29.89,29.77,0.0
1/14/2024,47.8,44.1,41.2,46.4,42.1,38.1,98.0,93.0,86.0,6.9,0.5,0.0,29.78,29.64,0.11
1/15/2024,56.1,51.3,45.9,54.7,50.8,45.5,99.0,99.0,94.0,8.5,1.4,0.0,29.65,29.52,0.24
1/16/2024,58.6,54.4,51.4,55.0,52.0,45.9,99.0,92.0,71.0,13.2,1.7,0.0,29.58,29.41,0.01
1/17/2024,54.0,51.5,49.3,51.6,49.2,46.8,99.0,92.0,85.0,14.3,3.6,0.0,29.41,29.19,0.53
1/18/2024,58.6,52.0,48.6,51.4,49.3,47.7,98.0,91.0,73.0,13.2,2.8,0.0,29.46,29.36,0.0
1/19/2024,50.4,43.8,39.6,50.0,42.1,34.3,99.0,94.0,81.0,10.5,2.8,0.0,29.53,29.27,1.23
1/20/2024,52.5,41.7,33.4,42.3,35.5,24.4,98.0,80.0,39.0,6.7,0.6,0.0,30.0,29.53,0.0
