Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,46.5,40.6,34.8,41.0,35.8,30.9,90.0,83.0,72.0,2.9,0.0,0.0,30.44,30.31,0.0
1/2/2024,43.3,41.2,37.7,40.4,38.3,34.8,93.0,89.0,86.0,2.0,0.0,0.0,30.45,30.35,0.0
1/3/2024,51.6,46.8,41.9,50.0,45.3,40.1,96.0,94.0,90.0,2.2,0.0,0.0,30.37,30.3,0.03
1/4/2024,50.3,46.5,43.3,47.3,44.2,40.6,95.0,92.0,84.0,3.8,0.1,0.0,30.36,30.06,0.09
1/5/2024,46.4,43.5,41.0,43.7,35.4,28.5,94.0,74.0,51.0,11.4,1.1,0.0,30.16,29.98,0.09
1/6/2024,46.2,42.3,37.9,33.6,30.7,26.4,76.0,64.0,52.0,12.5,1.6,0.0,30.37,30.16,0.04
1/7/2024,45.6,39.5,33.0,31.8,29.4,27.6,85.0,68.0,51.0,6.7,0.6,0.0,30.44,30.37,0.0
1/8/2024,45.5,38.7,32.0,32.7,28.9,23.9,82.0,69.0,49.0,7.8,0.4,0.0,30.4,30.3,0.0
1/9/2024,43.7,40.9,37.5,37.9,35.0,31.4,85.0,80.0,76.0,2.2,0.0,0.0,30.35,30.28,0.0
1/10/2024,44.7,42.0,38.8,41.9,38.8,35.6,93.0,89.0,83.0,3.1,0.1,0.0,30.33,30.25,0.17
1/11/2024,44.7,39.6,33.2,36.8,30.7,24.4,90.0,72.0,46.0,5.3,0.9,0.0,30.46,30.28,0.17
1/12/2024,43.8,34.9,28.0,31.6,27.3,23.3,85.0,74.0,52.0,2.9,0.0,0.0,30.54,30.44,0.0
1/13/2024,47.4,39.8,32.3,39.3,33.5,27.3,88.0,79.0,64.0,2.0,0.0,0.0,30.54,30.42,0.0
1/14/2024,46.4,43.0,38.3,43.5,40.1,35.0,93.0,89.0,83.0,3.1,0.0,0.0,30.43,30.29,0.01
1/15/2024,53.2,47.8,43.7,51.0,46.1,41.7,96.0,94.0,91.0,1.7,0.0,0.0,30.29,30.16,0.23
1/16/2024,55.9,52.2,48.5,52.8,49.7,46.5,96.0,91.0,78.0,2.9,0.1,0.0,30.21,30.07,0.25
1/17/2024,52.5,50.6,48.0,49.4,47.6,43.8,95.0,89.0,81.0,4.6,0.6,0.0,30.07,29.84,0.8
1/18/2024,57.7,50.2,43.8,50.9,46.6,41.3,93.0,88.0,75.0,4.9,0.1,0.0,30.11,29.98,0.8
1/19/2024,49.2,44.3,40.1,47.3,41.3,34.8,94.0,89.0,79.0,7.6,0.3,0.0,30.18,29.93,1.0
1/20/2024,48.0,41.3,34.8,39.3,35.3,30.7,91.0,80.0,52.0,6.9,0.3,0.0,30.63,30.18,1.0
1/21/2024,49.8,42.5,37.2,43.1,37.3,32.7,91.0,82.0,74.0,6.0,0.5,0.0,30.77,30.63,0.0
1/22/2024,45.6,39.8,33.6,42.9,37.2,31.1,93.0,91.0,87.0,2.6,0.0,0.0,30.84,30.75,0.0
1/23/2024,56.1,45.4,37.4,50.7,42.5,35.6,94.0,90.0,80.0,1.7,0.0,0.0,30.89,30.81,0.0
