Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,48.3,42.6,38.8,41.1,38.3,35.0,90.0,85.0,70.0,0.0,0.0,0.0,30.12,30.0,0.0
1/2/2024,48.9,43.2,36.1,45.5,39.4,32.1,90.0,86.0,79.0,0.0,0.0,0.0,30.12,30.03,0.0
1/3/2024,57.2,52.0,48.3,53.0,49.3,45.3,93.0,90.0,85.0,0.0,0.0,0.0,30.06,29.97,0.0
1/4/2024,48.5,47.8,46.4,46.4,45.6,44.2,92.0,92.0,92.0,0.0,0.0,0.0,30.03,30.0,0.0
1/5/2024,48.9,45.4,41.7,44.6,38.5,33.4,92.0,78.0,57.0,0.0,0.0,0.0,29.79,29.68,0.0
1/11/2024,33.8,33.6,32.7,27.8,27.6,27.1,80.0,79.0,78.0,0.0,0.0,0.0,30.15,30.12,0.0
1/12/2024,47.4,35.3,27.5,36.3,29.4,23.3,86.0,79.0,63.0,1.5,0.0,0.0,30.21,30.12,0.0
1/13/2024,49.4,40.5,32.9,41.9,35.6,29.3,87.0,83.0,72.0,1.7,0.0,0.0,30.21,30.09,0.0
1/14/2024,50.3,45.2,40.4,46.4,41.4,36.5,89.0,87.0,80.0,3.8,0.0,0.0,30.09,29.97,0.0
1/15/2024,57.5,53.0,49.4,53.9,50.7,46.4,94.0,92.0,87.0,3.5,0.1,0.0,29.97,29.85,0.0
1/16/2024,60.8,56.3,53.4,54.6,51.5,44.4,93.0,84.0,64.0,4.2,0.1,0.0,29.88,29.73,0.0
1/17/2024,54.8,53.1,51.0,50.3,48.4,44.7,91.0,85.0,78.0,6.7,0.4,0.0,29.73,29.53,0.0
1/18/2024,57.0,53.1,51.0,51.2,48.7,46.2,90.0,85.0,77.0,5.3,0.3,0.0,29.79,29.68,0.0
1/19/2024,52.7,45.7,38.1,49.8,42.8,35.0,92.0,89.0,85.0,5.5,0.0,0.0,29.82,29.59,0.0
1/20/2024,52.5,42.8,35.2,44.9,38.0,31.2,89.0,84.0,72.0,2.0,0.0,0.0,30.3,29.82,0.0
1/21/2024,52.3,44.8,38.8,42.8,40.1,35.4,93.0,84.0,63.0,2.6,0.0,0.0,30.44,30.3,0.0
1/22/2024,52.3,42.2,35.7,45.5,38.4,32.7,89.0,86.0,77.0,2.4,0.0,0.0,30.5,30.44,0.0
1/23/2024,60.0,45.9,36.5,51.6,42.0,33.9,92.0,87.0,72.0,2.0,0.0,0.0,30.56,30.5,0.0
1/24/2024,66.7,49.7,40.2,53.6,45.0,37.7,93.0,85.0,58.0,0.0,0.0,0.0,30.56,30.47,0.0
1/25/2024,65.6,50.3,41.0,53.0,44.6,37.5,90.0,82.0,60.0,2.0,0.0,0.0,30.5,30.38,0.0
1/26/2024,67.2,50.9,40.4,50.7,43.4,36.5,88.0,77.0,48.0,2.6,0.0,0.0,30.41,30.33,0.01
1/27/2024,64.9,51.3,45.1,49.2,43.3,39.9,84.0,75.0,46.0,0.0,0.0,0.0,30.35,30.24,0.0
2/8/2024,50.7,49.6,49.1,45.1,44.7,43.7,86.0,84.0,77.0,0.0,0.0,0.0,29.65,29.59,0.0
2/9/2024,55.0,51.0,48.2,50.3,47.2,43.8,90.0,87.0,82.0,0.0,0.0,0.0,29.59,29.14,0.0
2/10/2024,50.7,46.5,42.4,43.8,37.2,31.2,88.0,71.0,56.0,0.0,0.0,0.0,29.68,29.2,0.0
2/11/2024,48.5,43.8,40.6,41.1,36.4,31.2,85.0,76.0,66.0,0.0,0.0,0.0,29.82,29.68,0.0
2/12/2024,46.2,45.6,45.3,42.9,41.9,41.0,90.0,87.0,85.0,0.0,0.0,0.0,29.79,29.73,0.0
2/13/2024,60.6,57.6,52.3,53.9,52.0,48.0,86.0,82.0,75.0,0.0,0.0,0.0,30.21,30.12,0.0
2/14/2024,67.1,57.0,50.3,57.9,51.9,46.2,90.0,83.0,71.0,0.0,0.0,0.0,30.21,30.06,0.0
2/15/2024,60.6,54.8,51.0,53.9,49.5,46.2,85.0,83.0,71.0,0.0,0.0,0.0,30.06,29.91,0.0
2/16/2024,63.3,53.8,47.6,48.9,43.7,38.8,85.0,70.0,44.0,0.0,0.0,0.0,30.24,29.97,0.0
2/17/2024,65.8,51.6,41.5,40.4,35.9,29.8,81.0,58.0,28.0,0.0,0.0,0.0,30.41,30.24,0.0
2/18/2024,64.4,50.1,41.3,41.1,36.0,31.4,77.0,60.0,30.0,0.0,0.0,0.0,30.47,30.38,0.0
2/19/2024,69.0,53.3,42.8,48.5,40.7,28.2,84.0,64.0,36.0,0.0,0.0,0.0,30.41,30.3,0.0
2/20/2024,69.0,52.5,41.0,40.2,32.8,25.3,69.0,49.0,23.0,0.0,0.0,0.0,30.35,30.24,0.0
2/21/2024,58.8,50.6,42.4,46.5,39.9,33.6,76.0,67.0,49.0,0.0,0.0,0.0,30.3,30.09,0.0
2/22/2024,54.8,52.6,48.0,50.1,45.6,37.2,90.0,77.0,65.0,0.0,0.0,0.0,30.12,29.73,0.0
2/23/2024,48.5,44.3,40.6,41.7,35.3,30.7,84.0,71.0,58.0,0.0,0.0,0.0,29.85,29.73,0.0
2/24/2024,51.2,44.6,38.6,37.5,33.7,28.2,85.0,67.0,42.0,0.0,0.0,0.0,29.94,29.73,0.0
2/25/2024,56.4,49.7,43.7,49.1,44.8,37.2,90.0,83.0,73.0,0.0,0.0,0.0,29.94,29.65,0.0
2/26/2024,52.1,48.2,42.9,48.2,38.3,30.3,88.0,70.0,44.0,0.0,0.0,0.0,29.82,29.59,0.0
