Date,High Temp (ºF),Avg Temp (ºF),Low T (ºF),High Dew Pt (ºF),Avg Dew Pt (ºF),Low Dew Pt (ºF),High Hum (%),Avg Hum (%),Low Hum (%),High Spe (mph),Avg Spe (mph),Low Spe (mph),High Press (in),Low Press (in),Sum Prec (In)
1/1/2024,53.1,41.3,31.5,42.6,38.6,30.2,99.0,91.0,59.0,3.8,0.2,0.0,29.84,29.69,0.0
1/2/2024,48.7,39.7,30.6,45.1,37.7,30.0,99.0,93.0,80.0,2.5,0.1,0.0,29.84,29.73,0.0
1/3/2024,56.1,50.1,43.9,54.1,49.1,43.0,99.0,96.0,92.0,6.7,0.6,0.0,29.76,29.68,0.19
1/4/2024,55.0,49.6,45.1,52.9,48.9,44.8,99.0,98.0,87.0,4.5,0.3,0.0,29.74,29.45,0.24
1/5/2024,50.7,44.9,40.1,48.7,40.8,34.5,98.0,86.0,56.0,7.2,1.0,0.0,29.56,29.36,0.06
1/6/2024,50.9,39.1,29.5,36.5,32.5,27.7,97.0,79.0,51.0,6.5,0.8,0.0,29.78,29.55,0.0
1/7/2024,48.6,33.1,26.1,36.5,28.6,24.8,97.0,85.0,50.0,6.3,0.3,0.0,29.82,29.74,0.0
1/8/2024,50.2,34.4,21.7,35.1,28.6,20.1,96.0,81.0,50.0,3.8,0.3,0.0,29.79,29.68,0.0
1/9/2024,46.9,40.6,35.1,40.3,36.1,31.8,94.0,84.0,73.0,3.6,0.2,0.0,29.75,29.66,0.0
1/10/2024,45.3,41.4,35.6,43.5,40.1,34.7,98.0,95.0,90.0,7.6,1.0,0.0,29.75,29.66,0.21
1/11/2024,48.9,39.8,29.1,43.2,34.6,26.8,99.0,83.0,54.0,5.8,0.6,0.0,29.84,29.66,0.01
1/12/2024,47.3,34.3,24.6,38.1,30.0,22.8,97.0,85.0,67.0,3.4,0.4,0.0,29.92,29.82,0.0
1/13/2024,51.6,39.4,29.5,43.2,35.8,28.8,98.0,88.0,69.0,2.7,0.3,0.0,29.93,29.79,0.0
1/14/2024,52.0,43.9,37.4,47.7,41.6,36.7,98.0,92.0,78.0,3.6,0.2,0.0,29.81,29.67,0.01
1/15/2024,56.7,52.0,46.6,55.4,51.3,45.1,99.0,98.0,93.0,6.0,0.9,0.0,29.68,29.55,0.31
1/16/2024,60.8,55.7,52.0,56.1,53.0,44.6,99.0,91.0,65.0,5.6,0.9,0.0,29.6,29.45,0.01
1/17/2024,55.9,53.2,50.4,52.0,49.9,47.1,99.0,89.0,79.0,11.9,2.0,0.0,29.46,29.23,0.46
1/18/2024,55.9,52.3,49.8,54.0,50.2,46.8,99.0,93.0,85.0,6.0,1.1,0.0,29.5,29.4,0.14
1/19/2024,53.8,48.8,39.9,52.9,48.3,39.4,99.0,99.0,95.0,9.2,0.8,0.0,29.52,29.26,1.26
1/20/2024,49.8,42.6,34.5,45.5,39.7,33.4,99.0,90.0,78.0,6.7,0.7,0.0,30.01,29.51,0.0
1/21/2024,58.5,44.7,34.5,46.0,41.1,34.0,99.0,88.0,54.0,3.8,0.2,0.0,30.17,30.0,0.0
1/22/2024,56.8,40.0,31.3,47.1,37.7,30.9,99.0,93.0,69.0,4.0,0.4,0.0,30.24,30.14,0.0
1/23/2024,63.1,44.4,35.1,53.1,42.1,34.7,99.0,93.0,67.0,4.7,0.4,0.0,30.28,30.19,0.01
1/24/2024,73.6,47.9,36.9,52.9,43.2,36.5,99.0,87.0,40.0,2.9,0.2,0.0,30.28,30.18,0.0
1/25/2024,72.1,47.8,34.3,52.2,42.2,34.0,99.0,84.0,37.0,2.2,0.2,0.0,30.22,30.06,0.01
1/26/2024,72.3,48.3,34.2,54.9,43.2,33.8,99.0,85.0,44.0,3.1,0.1,0.0,30.13,30.02,0.0
1/27/2024,69.8,48.7,37.8,50.2,42.5,37.2,99.0,83.0,41.0,3.8,0.2,0.0,30.06,29.93,0.01
1/28/2024,69.1,48.4,35.8,48.0,41.5,34.9,97.0,80.0,42.0,3.8,0.4,0.0,29.99,29.91,0.0
1/29/2024,60.8,47.5,36.5,47.7,42.0,35.6,97.0,83.0,54.0,4.0,0.4,0.0,30.05,29.95,0.0
1/30/2024,59.0,43.4,34.2,48.6,40.1,33.8,99.0,89.0,65.0,4.3,0.3,0.0,30.12,30.02,0.0
1/31/2024,55.9,43.4,34.9,46.8,40.4,33.6,99.0,90.0,68.0,4.3,0.4,0.0,30.17,30.09,0.01
2/1/2024,68.7,44.8,28.4,46.4,37.0,28.0,99.0,79.0,37.0,5.8,0.4,0.0,30.19,30.06,0.0
2/2/2024,63.1,45.0,31.8,45.0,37.7,30.7,97.0,79.0,44.0,8.1,0.5,0.0,30.11,30.0,0.0
2/3/2024,66.0,45.5,33.6,43.7,36.3,32.2,96.0,75.0,34.0,5.6,0.6,0.0,30.1,30.02,0.0
2/4/2024,67.1,41.6,30.2,42.8,33.9,28.8,96.0,78.0,33.0,4.0,0.2,0.0,30.1,30.0,0.0
2/5/2024,64.2,43.8,29.3,42.6,35.6,27.7,96.0,76.0,39.0,3.6,0.2,0.0,30.06,29.93,0.0
2/6/2024,58.6,44.6,34.9,47.7,39.7,33.3,96.0,84.0,61.0,3.8,0.3,0.0,29.96,29.85,0.0
2/7/2024,54.0,44.3,33.6,49.6,42.4,33.1,99.0,93.0,77.0,4.7,0.6,0.0,29.9,29.75,0.0
2/8/2024,55.9,49.2,42.1,48.2,44.7,37.9,99.0,86.0,52.0,10.1,0.8,0.0,29.76,29.28,0.06
2/9/2024,56.8,50.4,47.8,52.0,48.6,44.6,99.0,94.0,81.0,6.9,1.1,0.0,29.29,28.85,0.59
2/10/2024,51.3,45.3,39.9,45.7,39.6,33.6,96.0,81.0,56.0,10.1,2.4,0.0,29.39,28.9,0.06
2/11/2024,46.8,38.5,31.1,42.6,35.8,29.7,98.0,90.0,76.0,6.9,0.5,0.0,29.54,29.38,0.01
2/12/2024,61.5,49.8,43.0,52.9,47.0,42.4,99.0,91.0,71.0,9.8,1.7,0.0,29.76,29.43,0.01
